gameID,teamID,oppTeamID,homeScore,awayScore
0022001003,1610612755,1610612740,109,107
0022001008,1610612762,1610612743,127,120
0022001007,1610612742,1610612739,110,90
0022001005,1610612748,1610612750,121,112
0022000160,1610612741,1610612738,121,99
0022001009,1610612756,1610612752,128,105
0022001011,1610612758,1610612759,104,113
0022001004,1610612766,1610612753,122,112
0022001010,1610612757,1610612747,106,101
0022001006,1610612749,1610612745,141,133
0022001001,1610612744,1610612760,118,97
0022000998,1610612742,1610612751,113,109
0022000997,1610612761,1610612764,129,131
0022000999,1610612765,1610612763,111,97
0022001002,1610612746,1610612747,118,94
0022001000,1610612754,1610612737,133,126
0022000434,1610612766,1610612741,99,120
0022000991,1610612739,1610612757,105,141
0022000992,1610612737,1610612756,135,103
0022000993,1610612754,1610612758,93,104
0022000990,1610612753,1610612738,96,132
0022000183,1610612750,1610612763,135,139
0022000996,1610612762,1610612759,126,94
0022000994,1610612745,1610612755,115,135
0022000995,1610612743,1610612752,113,97
0022000235,1610612749,1610612764,135,134
0022000984,1610612765,1610612766,99,102
0022000988,1610612760,1610612758,99,103
0022000987,1610612740,1610612744,108,103
0022000986,1610612748,1610612742,113,127
0022000983,1610612739,1610612756,118,134
0022000989,1610612746,1610612761,105,100
0022000985,1610612749,1610612751,124,118
0022000980,1610612763,1610612752,104,118
0022000978,1610612737,1610612757,123,114
0022000982,1610612747,1610612743,93,89
0022000981,1610612762,1610612759,110,99
0022000975,1610612765,1610612753,112,119
0022000976,1610612764,1610612754,154,141
0022000977,1610612740,1610612744,108,123
0022000979,1610612741,1610612755,94,106
0022000972,1610612760,1610612756,120,123
0022000970,1610612742,1610612758,99,111
0022000971,1610612745,1610612752,97,122
0022000974,1610612747,1610612761,114,121
0022000969,1610612766,1610612748,111,121
0022000967,1610612749,1610612751,117,114
0022000973,1610612759,1610612755,111,113
0022000968,1610612738,1610612757,119,129
0022000960,1610612739,1610612748,107,124
0022000964,1610612742,1610612764,125,124
0022000962,1610612750,1610612740,136,140
0022000959,1610612737,1610612741,108,97
0022000957,1610612766,1610612765,107,94
0022000961,1610612753,1610612763,112,111
0022000966,1610612746,1610612743,104,110
0022000963,1610612760,1610612754,95,152
0022000958,1610612745,1610612744,87,113
0022000965,1610612762,1610612761,106,102
0022000950,1610612738,1610612759,143,140
0022000953,1610612763,1610612753,92,75
0022000949,1610612755,1610612737,126,104
0022000956,1610612747,1610612758,106,110
0022000951,1610612739,1610612764,93,122
0022000954,1610612741,1610612749,98,108
0022000955,1610612756,1610612762,121,100
0022000952,1610612751,1610612757,109,128
0022000945,1610612745,1610612749,143,136
0022000944,1610612754,1610612751,113,130
0022000946,1610612750,1610612744,126,114
0022000948,1610612743,1610612761,121,111
0022000947,1610612760,1610612740,95,109
0022000943,1610612765,1610612742,105,115
0022000938,1610612748,1610612759,116,111
0022000935,1610612764,1610612747,116,107
0022000939,1610612763,1610612757,109,130
0022000936,1610612738,1610612766,120,111
0022000941,1610612756,1610612746,109,101
0022000937,1610612752,1610612741,113,94
0022000940,1610612743,1610612740,114,112
0022000942,1610612758,1610612762,105,154
0022000933,1610612739,1610612753,104,109
0022000934,1610612755,1610612737,127,83
0022000930,1610612761,1610612751,103,116
0022000928,1610612766,1610612749,104,114
0022000927,1610612738,1610612760,115,119
0022000931,1610612745,1610612750,107,114
0022000932,1610612744,1610612742,103,133
0022000929,1610612754,1610612757,112,133
0022000922,1610612748,1610612741,102,110
0022000917,1610612753,1610612747,103,114
0022000926,1610612758,1610612742,113,106
0022000920,1610612752,1610612756,110,118
0022000921,1610612761,1610612739,112,96
0022000925,1610612743,1610612763,120,96
0022000916,1610612765,1610612737,100,86
0022000923,1610612750,1610612762,105,104
0022000919,1610612764,1610612759,143,146
0022000918,1610612755,1610612760,121,90
0022000924,1610612740,1610612746,120,103
0022000912,1610612751,1610612756,128,119
0022000913,1610612737,1610612749,111,104
0022000914,1610612753,1610612754,112,131
0022000915,1610612744,1610612758,117,113
0022000911,1610612766,1610612738,125,104
0022000197,1610612764,1610612739,119,110
0022000240,1610612757,1610612763,113,120
0022000905,1610612749,1610612755,132,94
0022000910,1610612743,1610612745,129,116
0022000906,1610612754,1610612765,115,109
0022000264,1610612740,1610612759,108,110
0022000904,1610612752,1610612761,120,103
0022000909,1610612762,1610612750,96,101
0022000908,1610612742,1610612747,108,93
0022000907,1610612748,1610612741,106,101
0022000903,1610612744,1610612743,118,97
0022000898,1610612737,1610612748,118,103
0022000225,1610612757,1610612763,128,130
0022000901,1610612745,1610612746,104,109
0022000899,1610612751,1610612738,109,104
0022000900,1610612766,1610612739,108,102
0022000902,1610612760,1610612764,109,129
0022000897,1610612742,1610612747,115,110
0022000896,1610612741,1610612766,108,91
0022000892,1610612738,1610612756,99,86
0022000893,1610612753,1610612740,100,135
0022000895,1610612759,1610612765,106,91
0022000894,1610612749,1610612755,124,117
0022000891,1610612758,1610612750,128,125
0022000885,1610612764,1610612744,118,114
0022000881,1610612739,1610612741,121,105
0022000890,1610612757,1610612743,105,106
0022000889,1610612746,1610612763,117,105
0022000883,1610612755,1610612756,113,116
0022000442,1610612742,1610612765,127,117
0022000888,1610612759,1610612748,87,107
0022000884,1610612761,1610612751,114,103
0022000887,1610612745,1610612762,89,112
0022000882,1610612754,1610612760,122,116
0022000886,1610612752,1610612737,137,127
0022000880,1610612758,1610612750,120,134
0022000877,1610612752,1610612766,109,97
0022000879,1610612757,1610612746,112,113
0022000876,1610612737,1610612753,112,96
0022000878,1610612740,1610612751,129,134
0022000870,1610612755,1610612744,96,107
0022000873,1610612749,1610612756,127,128
0022000868,1610612765,1610612739,109,105
0022000872,1610612764,1610612760,119,107
0022000473,1610612754,1610612759,94,109
0022000874,1610612743,1610612763,139,137
0022000875,1610612747,1610612762,97,111
0022000869,1610612738,1610612741,96,102
0022000871,1610612748,1610612745,113,91
0022000362,1610612766,1610612757,109,101
0022000864,1610612753,1610612745,110,114
0022000862,1610612752,1610612740,122,112
0022000867,1610612746,1610612750,124,105
0022000866,1610612742,1610612758,107,121
0022000861,1610612737,1610612754,129,117
0022000863,1610612748,1610612751,109,107
0022000865,1610612761,1610612760,112,106
0022000856,1610612764,1610612765,121,100
0022000855,1610612747,1610612762,127,115
0022000857,1610612741,1610612739,106,96
0022000858,1610612738,1610612744,119,114
0022000859,1610612749,1610612763,115,128
0022000860,1610612756,1610612759,85,111
0022000846,1610612755,1610612746,106,103
