shotID,playerID,shotDistance,gameID,clutchTime,shotResult
21900004279,204456,1,0021900004,0,1
21900004311,204456,1,0021900004,0,0
21900004532,204456,1,0021900004,0,1
21900004564,204456,13,0021900004,0,0
21900030189,204456,13,0021900030,0,1
21900030379,204456,13,0021900030,0,0
21900030409,204456,19,0021900030,0,0
21900030474,204456,10,0021900030,0,0
21900030509,204456,49,0021900030,0,0
21900030517,204456,17,0021900030,0,0
21900041148,204456,15,0021900041,0,0
21900041158,204456,12,0021900041,0,0
21900041175,204456,2,0021900041,0,1
21900041184,204456,19,0021900041,0,0
21900041461,204456,18,0021900041,0,1
21900041517,204456,2,0021900041,0,0
21900041519,204456,5,0021900041,0,1
21900059103,204456,1,0021900059,0,0
21900059144,204456,17,0021900059,0,0
21900059159,204456,14,0021900059,0,0
21900059513,204456,18,0021900059,0,0
21900070177,204456,2,0021900070,0,1
21900070223,204456,6,0021900070,0,0
21900070506,204456,1,0021900070,0,0
21900070549,204456,2,0021900070,0,1
21900085119,204456,0,0021900085,0,0
21900085545,204456,1,0021900085,0,1
21900085564,204456,5,0021900085,0,0
21900097144,204456,1,0021900097,0,1
21900097454,204456,5,0021900097,0,1
21900097468,204456,10,0021900097,0,1
21900097481,204456,7,0021900097,0,0
21900097493,204456,2,0021900097,0,0
21900104139,204456,1,0021900104,0,0
21900104162,204456,0,0021900104,0,0
21900104209,204456,7,0021900104,0,1
21900104234,204456,1,0021900104,0,1
21900104257,204456,0,0021900104,0,1
21900104512,204456,19,0021900104,0,0
2190011696,204456,11,0021900116,0,1
21900116128,204456,14,0021900116,0,0
21900116140,204456,4,0021900116,0,1
21900116469,204456,12,0021900116,0,1
21900116498,204456,1,0021900116,0,1
21900116536,204456,3,0021900116,0,1
21900116540,204456,14,0021900116,0,1
21900116543,204456,1,0021900116,0,1
21900116550,204456,0,0021900116,0,1
21900116554,204456,12,0021900116,0,0
21900133143,204456,2,0021900133,0,1
21900133401,204456,15,0021900133,0,1
21900133404,204456,1,0021900133,0,0
21900133416,204456,17,0021900133,0,0
21900133418,204456,5,0021900133,0,1
21900133438,204456,1,0021900133,0,1
21900133445,204456,14,0021900133,0,1
21900133470,204456,15,0021900133,0,1
21900133514,204456,18,0021900133,0,0
21900146138,204456,1,0021900146,0,0
21900146164,204456,2,0021900146,0,0
21900146404,204456,16,0021900146,0,0
21900146432,204456,15,0021900146,0,1
21900146446,204456,1,0021900146,0,1
21900146462,204456,1,0021900146,0,1
21900146466,204456,19,0021900146,0,0
21900146505,204456,1,0021900146,0,0
21900169129,204456,8,0021900169,0,1
21900169144,204456,7,0021900169,0,0
21900169180,204456,11,0021900169,0,0
21900169333,204456,1,0021900169,0,1
21900169513,204456,4,0021900169,0,1
21900169524,204456,0,0021900169,0,1
21900169528,204456,0,0021900169,0,1
21900227135,204456,6,0021900227,0,1
21900227158,204456,9,0021900227,0,1
21900227197,204456,11,0021900227,0,0
21900227452,204456,22,0021900227,0,0
21900227469,204456,22,0021900227,0,1
21900227513,204456,9,0021900227,0,1
21900242134,204456,22,0021900242,0,0
21900242138,204456,8,0021900242,0,0
21900242193,204456,5,0021900242,0,0
21900242197,204456,2,0021900242,0,1
21900242219,204456,1,0021900242,0,1
21900242440,204456,23,0021900242,0,1
21900242444,204456,0,0021900242,0,0
21900242468,204456,1,0021900242,0,1
21900242480,204456,10,0021900242,0,1
21900242498,204456,16,0021900242,0,0
21900242619,204456,11,0021900242,1,0
21900242630,204456,1,0021900242,1,0
21900256141,204456,1,0021900256,0,1
21900256146,204456,12,0021900256,0,1
21900256172,204456,12,0021900256,0,0
21900256196,204456,16,0021900256,0,1
21900256449,204456,9,0021900256,0,1
21900256465,204456,0,0021900256,0,0
21900256502,204456,10,0021900256,0,1
21900256646,204456,4,0021900256,1,0
21900272210,204456,16,0021900272,0,0
